文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,泥岩,2500,,,5.6,37,4.8,,,,330.9,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,砂质泥岩,2340,6,2.5,4.2,24.9,1.5,,6.5,0.32,580,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,粉砂岩,2680,17.5,7.6,8.95,30,2.8,,20,0.31,620,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,中砂岩,2460,12.3,8.1,3.8,26,2.8,,20,0.23,620,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,泥岩,2670,4.3,1.6,3.05,32.1,0.8,,4.17,0.34,650,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,粗砂岩,3300,8.3,3.4,2.8,36,2.8,,9,0.32,650,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,细砂岩,2680,20.1,11.5,2,30,2.8,,29,0.26,650,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,中砂岩,2460,12.3,8.1,3.8,26,1.5,,20,0.23,650,,,,,,
基于上覆岩层应力场和裂缝场演化的采动井套管破断特征及防控对策,平顶山矿区,河南,,煤,1457,1.1,0.5,1,22.1,0.21,,1.3,0.3,700,,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,济宁市,细砂岩,,,,,35,,24.6,9.8,0.21,234.56,21.3,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,粉砂岩,,,,,33,,18.6,6.8,0.23,234.56,7.2,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,32,,14.6,5.5,0.25,234.56,3,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,煤,,,,,28,,10.8,6,0.23,234.56,3.5,,,,,
